HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
IL,1.047,99,480,764,54,77,"361,763","72,353",15.059,3.235,1.004,2.09,1.31,0.96,502,1.05,0.66,0.48,327,0.68,0.43,0.31,216,4,2.81,2.18,108,2,1.4,1.09,70,1.3,0.91,0.71
CA,1.087,163,278,682,94,128,"669,683","133,937",27.815,5.959,1.854,6.67,2.72,1.71,927,3.33,1.36,0.85,605,2.18,0.89,0.56,397,4.22,3.1,2.44,199,2.12,1.55,1.22,130,1.38,1.02,0.8
TX,574,46,352,463,18,32,"115,052","23,010",4.857,1.061,324,0.92,0.7,0.56,162,0.46,0.35,0.28,106,0.3,0.23,0.18,71,3.94,2.22,1.54,35,1.94,1.09,0.76,23,1.28,0.72,0.5
TX,720,60,261,490,24,42,"264,389","52,878",11.077,2.398,738,2.83,1.51,1.03,369,1.41,0.75,0.51,241,0.92,0.49,0.33,160,6.67,3.81,2.67,80,3.33,1.9,1.33,52,2.17,1.24,0.87
DC,5.055,601,1.595,3.325,218,409,"2,179,021","435,804",90.001,19.152,6,3.76,1.8,1.19,3,1.88,0.9,0.59,1.957,1.23,0.59,0.39,1.277,5.86,3.12,2.12,638,2.93,1.56,1.06,416,1.91,1.02,0.69
IA,668,36,340,504,19,28,"167,837","33,567",7.067,1.539,471,1.39,0.93,0.71,236,0.69,0.47,0.35,154,0.45,0.31,0.23,103,5.42,3.68,2.86,51,2.68,1.82,1.42,33,1.74,1.18,0.92
WI,403,72,152,278,45,59,"150,679","30,136",6.415,1.415,428,2.82,1.54,1.06,214,1.41,0.77,0.53,139,0.91,0.5,0.34,94,2.09,1.59,1.31,47,1.04,0.8,0.65,31,0.69,0.53,0.43
NY,2.973,243,597,1.785,137,190,"896,882","179,376",37.473,8.086,2.498,4.18,1.4,0.84,1.249,2.09,0.7,0.42,815,1.37,0.46,0.27,539,3.93,2.84,2.22,270,1.97,1.42,1.11,176,1.28,0.93,0.72
TX,516,24,298,407,8,16,"154,615","30,923",6.479,1.403,432,1.45,1.06,0.84,216,0.72,0.53,0.42,141,0.47,0.35,0.27,94,11.75,5.88,3.92,47,5.88,2.94,1.96,30,3.75,1.88,1.25
KS,4.59,442,2.225,3.407,202,322,"951,715","190,343",39.94,8.664,2.663,1.2,0.78,0.58,1.331,0.6,0.39,0.29,868,0.39,0.25,0.19,578,2.86,1.8,1.31,289,1.43,0.9,0.65,188,0.93,0.58,0.43
PA,651,102,263,457,24,63,"198,135","39,627",8.424,1.856,562,2.14,1.23,0.86,281,1.07,0.61,0.43,183,0.7,0.4,0.28,124,5.17,1.97,1.22,62,2.58,0.98,0.61,40,1.67,0.63,0.39
DE,1.845,237,601,1.223,62,149,"637,120","127,424",26.493,5.684,1.766,2.94,1.44,0.96,883,1.47,0.72,0.48,576,0.96,0.47,0.31,379,6.11,2.54,1.6,189,3.05,1.27,0.8,124,2,0.83,0.52
NC,1.005,90,251,628,17,54,"385,088","77,018",16.374,3.607,1.092,4.35,1.74,1.09,546,2.18,0.87,0.54,356,1.42,0.57,0.35,240,14.12,4.44,2.67,120,7.06,2.22,1.33,78,4.59,1.44,0.87
VA,1.051,84,357,704,22,53,"350,240","70,048",14.721,3.2,981,2.75,1.39,0.93,491,1.38,0.7,0.47,320,0.9,0.45,0.3,213,9.68,4.02,2.54,107,4.86,2.02,1.27,70,3.18,1.32,0.83
NC,2.87,499,843,1.857,40,269,"899,862","179,972",37.943,8.278,2.53,3,1.36,0.88,1.265,1.5,0.68,0.44,825,0.98,0.44,0.29,552,13.8,2.05,1.11,276,6.9,1.03,0.55,180,4.5,0.67,0.36
MA,1.525,169,425,975,43,106,"652,386","130,477",27.111,5.812,1.807,4.25,1.85,1.18,904,2.13,0.93,0.59,589,1.39,0.6,0.39,387,9,3.65,2.29,194,4.51,1.83,1.15,126,2.93,1.19,0.75
WA,369,58,200,285,33,45,"220,972","44,194",9.17,1.963,611,3.06,2.14,1.66,306,1.53,1.07,0.83,199,1,0.7,0.54,131,3.97,2.91,2.26,65,1.97,1.44,1.12,43,1.3,0.96,0.74
PA,868,79,267,567,8,43,"343,334","68,667",14.448,3.145,963,3.61,1.7,1.11,482,1.81,0.85,0.56,314,1.18,0.55,0.36,210,26.25,4.88,2.66,105,13.13,2.44,1.33,68,8.5,1.58,0.86
OH,1.555,158,543,1.049,66,112,"493,628","98,726",21.117,4.685,1.408,2.59,1.34,0.91,704,1.3,0.67,0.45,459,0.85,0.44,0.3,312,4.73,2.79,1.97,156,2.36,1.39,0.99,102,1.55,0.91,0.65
